#SSL or TLS cipher suites names         #OpenSSL equivalents #encryptions-strength(w[eak],m[edium],s[trong])
#SSL v3.0 cipher suites.
SSL_DH_anon_WITH_RC4_128_MD5            ADH-RC4-MD5 weak ssl.PROTOCOL_SSLv3
SSL_DH_anon_EXPORT_WITH_DES40_CBC_SHA   EXP-ADH-DES-CBC-SHA weak ssl.PROTOCOL_SSLv3
SSL_DH_anon_WITH_DES_CBC_SHA            ADH-DES-CBC-SHA weak ssl.PROTOCOL_SSLv3
SSL_DH_anon_WITH_3DES_EDE_CBC_SHA       ADH-DES-CBC3-SHA weak ssl.PROTOCOL_SSLv3

#TLS v1.0 cipher suites.
TLS_RSA_WITH_NULL_MD5                   NULL-MD5 weak ssl.PROTOCOL_TLSv1
TLS_RSA_WITH_NULL_SHA                   NULL-SHA weak ssl.PROTOCOL_TLSv1
TLS_RSA_EXPORT_WITH_RC4_40_MD5          EXP-RC4-MD5 weak ssl.PROTOCOL_TLSv1
TLS_RSA_WITH_RC4_128_MD5                RC4-MD5 weak ssl.PROTOCOL_TLSv1
TLS_RSA_WITH_RC4_128_SHA                RC4-SHA weak ssl.PROTOCOL_TLSv1
TLS_RSA_EXPORT_WITH_RC2_CBC_40_MD5      EXP-RC2-CBC-MD5 weak ssl.PROTOCOL_TLSv1
TLS_RSA_WITH_IDEA_CBC_SHA               IDEA-CBC-SHA medium ssl.PROTOCOL_TLSv1
TLS_RSA_EXPORT_WITH_DES40_CBC_SHA       EXP-DES-CBC-SHA weak ssl.PROTOCOL_TLSv1
TLS_RSA_WITH_DES_CBC_SHA                DES-CBC-SHA weak ssl.PROTOCOL_TLSv1
TLS_RSA_WITH_3DES_EDE_CBC_SHA           DES-CBC3-SHA medium ssl.PROTOCOL_TLSv1

#TLS_DH_DSS_EXPORT_WITH_DES40_CBC_SHA    Not implemented. ssl.PROTOCOL_TLSv1
#TLS_DH_DSS_WITH_DES_CBC_SHA             Not implemented. ssl.PROTOCOL_TLSv1
#TLS_DH_DSS_WITH_3DES_EDE_CBC_SHA        Not implemented. ssl.PROTOCOL_TLSv1
#TLS_DH_RSA_EXPORT_WITH_DES40_CBC_SHA    Not implemented. ssl.PROTOCOL_TLSv1
#TLS_DH_RSA_WITH_DES_CBC_SHA             Not implemented. ssl.PROTOCOL_TLSv1
#TLS_DH_RSA_WITH_3DES_EDE_CBC_SHA        Not implemented. ssl.PROTOCOL_TLSv1
TLS_DHE_DSS_EXPORT_WITH_DES40_CBC_SHA   EXP-EDH-DSS-DES-CBC-SHA weak ssl.PROTOCOL_TLSv1
TLS_DHE_DSS_WITH_DES_CBC_SHA            EDH-DSS-CBC-SHA medium ssl.PROTOCOL_TLSv1
TLS_DHE_DSS_WITH_3DES_EDE_CBC_SHA       EDH-DSS-DES-CBC3-SHA medium ssl.PROTOCOL_TLSv1
TLS_DHE_RSA_EXPORT_WITH_DES40_CBC_SHA   EXP-EDH-RSA-DES-CBC-SHA weak ssl.PROTOCOL_TLSv1
TLS_DHE_RSA_WITH_DES_CBC_SHA            EDH-RSA-DES-CBC-SHA weak ssl.PROTOCOL_TLSv1
TLS_DHE_RSA_WITH_3DES_EDE_CBC_SHA       EDH-RSA-DES-CBC3-SHA strong ssl.PROTOCOL_TLSv1

TLS_DH_anon_EXPORT_WITH_RC4_40_MD5      EXP-ADH-RC4-MD5 weak ssl.PROTOCOL_TLSv1
TLS_DH_anon_WITH_RC4_128_MD5            ADH-RC4-MD5 weak ssl.PROTOCOL_TLSv1
TLS_DH_anon_EXPORT_WITH_DES40_CBC_SHA   EXP-ADH-DES-CBC-SHA weak ssl.PROTOCOL_TLSv1
TLS_DH_anon_WITH_DES_CBC_SHA            ADH-DES-CBC-SHA weak ssl.PROTOCOL_TLSv1
TLS_DH_anon_WITH_3DES_EDE_CBC_SHA       ADH-DES-CBC3-SHA weak ssl.PROTOCOL_TLSv1

#AES ciphersuites from RFC3268, extending TLS v1.0
TLS_RSA_WITH_AES_128_CBC_SHA            AES128-SHA medium ssl.PROTOCOL_TLSv1
TLS_RSA_WITH_AES_256_CBC_SHA            AES256-SHA strong ssl.PROTOCOL_TLSv1

TLS_DH_DSS_WITH_AES_128_CBC_SHA         DH-DSS-AES128-SHA medium ssl.PROTOCOL_TLSv1
TLS_DH_DSS_WITH_AES_256_CBC_SHA         DH-DSS-AES256-SHA strong ssl.PROTOCOL_TLSv1
TLS_DH_RSA_WITH_AES_128_CBC_SHA         DH-RSA-AES128-SHA medium ssl.PROTOCOL_TLSv1
TLS_DH_RSA_WITH_AES_256_CBC_SHA         DH-RSA-AES256-SHA strong ssl.PROTOCOL_TLSv1

TLS_DHE_DSS_WITH_AES_128_CBC_SHA        DHE-DSS-AES128-SHA medium ssl.PROTOCOL_TLSv1
TLS_DHE_DSS_WITH_AES_256_CBC_SHA        DHE-DSS-AES256-SHA strong ssl.PROTOCOL_TLSv1
TLS_DHE_RSA_WITH_AES_128_CBC_SHA        DHE-RSA-AES128-SHA medium ssl.PROTOCOL_TLSv1
TLS_DHE_RSA_WITH_AES_256_CBC_SHA        DHE-RSA-AES256-SHA strong ssl.PROTOCOL_TLSv1

TLS_DH_anon_WITH_AES_128_CBC_SHA        ADH-AES128-SHA weak ssl.PROTOCOL_TLSv1
TLS_DH_anon_WITH_AES_256_CBC_SHA        ADH-AES256-SHA weak ssl.PROTOCOL_TLSv1

#Camellia ciphersuites from RFC4132, extending TLS v1.0
TLS_RSA_WITH_CAMELLIA_128_CBC_SHA      CAMELLIA128-SHA medium ssl.PROTOCOL_TLSv1
TLS_RSA_WITH_CAMELLIA_256_CBC_SHA      CAMELLIA256-SHA strong ssl.PROTOCOL_TLSv1

TLS_DH_DSS_WITH_CAMELLIA_128_CBC_SHA   DH-DSS-CAMELLIA128-SHA medium ssl.PROTOCOL_TLSv1
TLS_DH_DSS_WITH_CAMELLIA_256_CBC_SHA   DH-DSS-CAMELLIA256-SHA strong ssl.PROTOCOL_TLSv1
TLS_DH_RSA_WITH_CAMELLIA_128_CBC_SHA   DH-RSA-CAMELLIA128-SHA medium ssl.PROTOCOL_TLSv1
TLS_DH_RSA_WITH_CAMELLIA_256_CBC_SHA   DH-RSA-CAMELLIA256-SHA strong ssl.PROTOCOL_TLSv1

TLS_DHE_DSS_WITH_CAMELLIA_128_CBC_SHA  DHE-DSS-CAMELLIA128-SHA medium ssl.PROTOCOL_TLSv1
TLS_DHE_DSS_WITH_CAMELLIA_256_CBC_SHA  DHE-DSS-CAMELLIA256-SHA strong ssl.PROTOCOL_TLSv1
TLS_DHE_RSA_WITH_CAMELLIA_128_CBC_SHA  DHE-RSA-CAMELLIA128-SHA medium ssl.PROTOCOL_TLSv1
TLS_DHE_RSA_WITH_CAMELLIA_256_CBC_SHA  DHE-RSA-CAMELLIA256-SHA strong ssl.PROTOCOL_TLSv1

TLS_DH_anon_WITH_CAMELLIA_128_CBC_SHA  ADH-CAMELLIA128-SHA weak ssl.PROTOCOL_TLSv1
TLS_DH_anon_WITH_CAMELLIA_256_CBC_SHA  ADH-CAMELLIA256-SHA weak ssl.PROTOCOL_TLSv1

#SEED ciphersuites from RFC4162, extending TLS v1.0
TLS_RSA_WITH_SEED_CBC_SHA              SEED-SHA weak ssl.PROTOCOL_TLSv1

TLS_DH_DSS_WITH_SEED_CBC_SHA           DH-DSS-SEED-SHA medium ssl.PROTOCOL_TLSv1
TLS_DH_RSA_WITH_SEED_CBC_SHA           DH-RSA-SEED-SHA medium ssl.PROTOCOL_TLSv1

TLS_DHE_DSS_WITH_SEED_CBC_SHA          DHE-DSS-SEED-SHA medium ssl.PROTOCOL_TLSv1
TLS_DHE_RSA_WITH_SEED_CBC_SHA          DHE-RSA-SEED-SHA medium ssl.PROTOCOL_TLSv1

TLS_DH_anon_WITH_SEED_CBC_SHA          ADH-SEED-SHA weak ssl.PROTOCOL_TLSv1

#GOST ciphersuites from draft-chudov-cryptopro-cptls, extending TLS v1.0
TLS_GOSTR341094_WITH_28147_CNT_IMIT GOST94-GOST89-GOST89 strong ssl.PROTOCOL_TLSv1
TLS_GOSTR341001_WITH_28147_CNT_IMIT GOST2001-GOST89-GOST89 strong ssl.PROTOCOL_TLSv1
TLS_GOSTR341094_WITH_NULL_GOSTR3411 GOST94-NULL-GOST94 weak ssl.PROTOCOL_TLSv1
TLS_GOSTR341001_WITH_NULL_GOSTR3411 GOST2001-NULL-GOST94 weak ssl.PROTOCOL_TLSv1

#Additional Export 1024 and other cipher suites
TLS_RSA_EXPORT1024_WITH_DES_CBC_SHA     EXP1024-DES-CBC-SHA weak ssl.PROTOCOL_TLSv1
TLS_RSA_EXPORT1024_WITH_RC4_56_SHA      EXP1024-RC4-SHA weak ssl.PROTOCOL_TLSv1
TLS_DHE_DSS_EXPORT1024_WITH_DES_CBC_SHA EXP1024-DHE-DSS-DES-CBC-SHA weak ssl.PROTOCOL_TLSv1
TLS_DHE_DSS_EXPORT1024_WITH_RC4_56_SHA  EXP1024-DHE-DSS-RC4-SHA weak ssl.PROTOCOL_TLSv1
TLS_DHE_DSS_WITH_RC4_128_SHA            DHE-DSS-RC4-SHA weak ssl.PROTOCOL_TLSv1

#TLS v1.2 cipher suites
TLS_RSA_WITH_NULL_SHA256                  NULL-SHA256 weak ssl.PROTOCOL_TLSv1_2

TLS_RSA_WITH_AES_128_CBC_SHA256           AES128-SHA256 medium ssl.PROTOCOL_TLSv1_2
TLS_RSA_WITH_AES_256_CBC_SHA256           AES256-SHA256 strong ssl.PROTOCOL_TLSv1_2
TLS_RSA_WITH_AES_128_GCM_SHA256           AES128-GCM-SHA256 medium ssl.PROTOCOL_TLSv1_2
TLS_RSA_WITH_AES_256_GCM_SHA384           AES256-GCM-SHA384 strong ssl.PROTOCOL_TLSv1_2

TLS_DH_RSA_WITH_AES_128_CBC_SHA256        DH-RSA-AES128-SHA256 medium ssl.PROTOCOL_TLSv1_2
TLS_DH_RSA_WITH_AES_256_CBC_SHA256        DH-RSA-AES256-SHA256 strong ssl.PROTOCOL_TLSv1_2
TLS_DH_RSA_WITH_AES_128_GCM_SHA256        DH-RSA-AES128-GCM-SHA256 medium ssl.PROTOCOL_TLSv1_2
TLS_DH_RSA_WITH_AES_256_GCM_SHA384        DH-RSA-AES256-GCM-SHA384 strong ssl.PROTOCOL_TLSv1_2

TLS_DH_DSS_WITH_AES_128_CBC_SHA256        DH-DSS-AES128-SHA256 medium ssl.PROTOCOL_TLSv1_2
TLS_DH_DSS_WITH_AES_256_CBC_SHA256        DH-DSS-AES256-SHA256 strong ssl.PROTOCOL_TLSv1_2
TLS_DH_DSS_WITH_AES_128_GCM_SHA256        DH-DSS-AES128-GCM-SHA256 medium ssl.PROTOCOL_TLSv1_2
TLS_DH_DSS_WITH_AES_256_GCM_SHA384        DH-DSS-AES256-GCM-SHA384 strong ssl.PROTOCOL_TLSv1_2

TLS_DHE_RSA_WITH_AES_128_CBC_SHA256       DHE-RSA-AES128-SHA256 medium ssl.PROTOCOL_TLSv1_2
TLS_DHE_RSA_WITH_AES_256_CBC_SHA256       DHE-RSA-AES256-SHA256 strong ssl.PROTOCOL_TLSv1_2
TLS_DHE_RSA_WITH_AES_128_GCM_SHA256       DHE-RSA-AES128-GCM-SHA256 medium ssl.PROTOCOL_TLSv1_2
TLS_DHE_RSA_WITH_AES_256_GCM_SHA384       DHE-RSA-AES256-GCM-SHA384 strong ssl.PROTOCOL_TLSv1_2

TLS_DHE_DSS_WITH_AES_128_CBC_SHA256       DHE-DSS-AES128-SHA256 medium ssl.PROTOCOL_TLSv1_2
TLS_DHE_DSS_WITH_AES_256_CBC_SHA256       DHE-DSS-AES256-SHA256 strong ssl.PROTOCOL_TLSv1_2
TLS_DHE_DSS_WITH_AES_128_GCM_SHA256       DHE-DSS-AES128-GCM-SHA256 medium ssl.PROTOCOL_TLSv1_2
TLS_DHE_DSS_WITH_AES_256_GCM_SHA384       DHE-DSS-AES256-GCM-SHA384 strong ssl.PROTOCOL_TLSv1_2

TLS_ECDH_RSA_WITH_AES_128_CBC_SHA256      ECDH-RSA-AES128-SHA256 medium ssl.PROTOCOL_TLSv1_2
TLS_ECDH_RSA_WITH_AES_256_CBC_SHA384      ECDH-RSA-AES256-SHA384 strong ssl.PROTOCOL_TLSv1_2
TLS_ECDH_RSA_WITH_AES_128_GCM_SHA256      ECDH-RSA-AES128-GCM-SHA256 medium ssl.PROTOCOL_TLSv1_2
TLS_ECDH_RSA_WITH_AES_256_GCM_SHA384      ECDH-RSA-AES256-GCM-SHA384 strong ssl.PROTOCOL_TLSv1_2

TLS_ECDH_ECDSA_WITH_AES_128_CBC_SHA256    ECDH-ECDSA-AES128-SHA256 medium ssl.PROTOCOL_TLSv1_2
TLS_ECDH_ECDSA_WITH_AES_256_CBC_SHA384    ECDH-ECDSA-AES256-SHA384 strong ssl.PROTOCOL_TLSv1_2
TLS_ECDH_ECDSA_WITH_AES_128_GCM_SHA256    ECDH-ECDSA-AES128-GCM-SHA256 medium ssl.PROTOCOL_TLSv1_2
TLS_ECDH_ECDSA_WITH_AES_256_GCM_SHA384    ECDH-ECDSA-AES256-GCM-SHA384 strong ssl.PROTOCOL_TLSv1_2

TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA256     ECDHE-RSA-AES128-SHA256 medium ssl.PROTOCOL_TLSv1_2
TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA384     ECDHE-RSA-AES256-SHA384 strong ssl.PROTOCOL_TLSv1_2
TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256     ECDHE-RSA-AES128-GCM-SHA256 medium ssl.PROTOCOL_TLSv1_2
TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384     ECDHE-RSA-AES256-GCM-SHA384 strong ssl.PROTOCOL_TLSv1_2

TLS_ECDHE_ECDSA_WITH_AES_128_CBC_SHA256   ECDHE-ECDSA-AES128-SHA256 medium ssl.PROTOCOL_TLSv1_2
TLS_ECDHE_ECDSA_WITH_AES_256_CBC_SHA384   ECDHE-ECDSA-AES256-SHA384 strong ssl.PROTOCOL_TLSv1_2
TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256   ECDHE-ECDSA-AES128-GCM-SHA256 medium ssl.PROTOCOL_TLSv1_2
TLS_ECDHE_ECDSA_WITH_AES_256_GCM_SHA384   ECDHE-ECDSA-AES256-GCM-SHA384 strong ssl.PROTOCOL_TLSv1_2

TLS_DH_anon_WITH_AES_128_CBC_SHA256       ADH-AES128-SHA256 weak ssl.PROTOCOL_TLSv1_2
TLS_DH_anon_WITH_AES_256_CBC_SHA256       ADH-AES256-SHA256 weak ssl.PROTOCOL_TLSv1_2
TLS_DH_anon_WITH_AES_128_GCM_SHA256       ADH-AES128-GCM-SHA256 weak ssl.PROTOCOL_TLSv1_2
TLS_DH_anon_WITH_AES_256_GCM_SHA384       ADH-AES256-GCM-SHA384 weak ssl.PROTOCOL_TLSv1_2

#Pre shared keying (PSK) cipheruites
TLS_PSK_WITH_RC4_128_SHA                  PSK-RC4-SHA weak ssl.PROTOCOL_TLSv1_2
TLS_PSK_WITH_3DES_EDE_CBC_SHA             PSK-3DES-EDE-CBC-SHA strong ssl.PROTOCOL_TLSv1_2
TLS_PSK_WITH_AES_128_CBC_SHA              PSK-AES128-CBC-SHA medium ssl.PROTOCOL_TLSv1_2
TLS_PSK_WITH_AES_256_CBC_SHA              PSK-AES256-CBC-SHA strong ssl.PROTOCOL_TLSv1_2

#Deprecated SSL v2.0 cipher suites.
SSL_CK_RC4_128_WITH_MD5                   RC4-MD5 weak ssl.PROTOCOL_SSLv2
SSL_CK_RC4_128_EXPORT40_WITH_MD5          EXP-RC4-MD5 weak ssl.PROTOCOL_SSLv2
SSL_CK_RC2_128_CBC_WITH_MD5               RC2-MD5 weak ssl.PROTOCOL_SSLv2
SSL_CK_RC2_128_CBC_EXPORT40_WITH_MD5      EXP-RC2-MD5 weak ssl.PROTOCOL_SSLv2
SSL_CK_IDEA_128_CBC_WITH_MD5              IDEA-CBC-MD5 weak ssl.PROTOCOL_SSLv2
SSL_CK_DES_64_CBC_WITH_MD5                DES-CBC-MD5 weak ssl.PROTOCOL_SSLv2
SSL_CK_DES_192_EDE3_CBC_WITH_MD5          DES-CBC3-MD5 weak ssl.PROTOCOL_SSLv2

#decisions:
#RC4 should not be used, due to crypto-analytical attacks
#MD5 should not be used, due to known collision attacks, but it is ok the use weakith at least 128 bit key
#No Export (EXP) level cipher suites, due to can be easly broken
#no Anonymous Diffie-Hellmann, due to not provides authentication (DH_annon ADH)
#no NULL ciphers suite, due to no encryption used
#if none of the options above is true, 128bit is medium and above is strong
#http://www.thesprawl.org/research/tls-and-ssl-cipher-suites/
#nice list weakith nearly all ciphers + Kx, Au, Enc, Bits, Mac and adition informations....
